y,x,diameter_px,ref_diameter_px,percent_diameter_stenosis,diameter_mm,ref_diameter_mm
1,484,2.0,4.590607784448862,56.43278429452248,0.44,1.0099337125787495
2,484,2.8284271247461903,4.590607784448862,38.38665267447957,0.6222539674441618,1.0099337125787495
3,484,4.47213595499958,4.590607784448862,2.5807440921557845,0.9838699100999075,1.0099337125787495
4,483,4.47213595499958,4.590607784448862,2.5807440921557845,0.9838699100999075,1.0099337125787495
5,482,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,481,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
5,480,4.47213595499958,4.590607784448862,2.5807440921557845,0.9838699100999075,1.0099337125787495
4,479,4.47213595499958,4.590607784448862,2.5807440921557845,0.9838699100999075,1.0099337125787495
4,478,5.656854249492381,4.590607784448862,-23.22669465104086,1.2445079348883237,1.0099337125787495
4,477,5.656854249492381,4.590607784448862,-23.22669465104086,1.2445079348883237,1.0099337125787495
4,476,4.47213595499958,4.590607784448862,2.5807440921557845,0.9838699100999075,1.0099337125787495
4,475,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,474,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,473,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,472,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,471,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,470,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,469,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,468,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,467,4.0,4.590607784448862,12.86556858904494,0.88,1.0099337125787495
4,466,4.0,4.47213595499958,10.55728110000842,0.88,0.9838699100999075
4,465,4.0,4.47213595499958,10.55728110000842,0.88,0.9838699100999075
5,464,4.0,4.47213595499958,10.55728110000842,0.88,0.9838699100999075
4,463,4.0,4.47213595499958,10.55728110000842,0.88,0.9838699100999075
4,462,4.47213595499958,4.47213595499958,2.2360679974298137e-07,0.9838699100999075,0.9838699100999075
5,461,5.656854249492381,5.06449510224598,-11.696311757001654,1.2445079348883237,1.1141889224941155
4,460,5.656854249492381,5.656854249492381,1.7677669328364232e-07,1.2445079348883237,1.2445079348883237
3,459,6.324555320336759,5.656854249492381,-11.803398677347122,1.391402170474087,1.2445079348883237
2,458,7.211102550927978,5.656854249492381,-27.475487614472648,1.5864425612041553,1.2445079348883237
1,457,8.246211251235321,5.72362435657682,-44.07324316021124,1.8141664752717708,1.2591973584469003
0,456,8.94427190999916,6.324555320336759,-41.42135601370271,1.967739820199815,1.391402170474087
0,455,8.246211251235321,7.122447827868858,-15.777769650928185,1.8141664752717708,1.5669385221311487
0,454,8.0,7.842220510185596,-2.011923528652182,1.76,1.7252885122408312
0,453,8.0,8.0,1.2500001034254637e-07,1.76,1.76
0,452,8.0,8.0,1.2500001034254637e-07,1.76,1.76
0,451,8.0,8.0,1.2500001034254637e-07,1.76,1.76
0,450,8.0,8.0,1.2500001034254637e-07,1.76,1.76
0,449,8.246211251235321,8.073863375370598,-2.1346393620804482,1.8141664752717708,1.7762499425815315
0,448,8.94427190999916,8.246211251235321,-8.465228777794675,1.967739820199815,1.8141664752717708
0,447,10.0,8.246211251235321,-21.26781237110764,2.2,1.8141664752717708
0,446,10.0,8.246211251235321,-21.26781237110764,2.2,1.8141664752717708
0,445,10.0,8.874465844122774,-12.682838205460456,2.2,1.9523824857070102
