idx,r,c,diam_px,ref_px,pds
278,212,159,2.0,16.492422502470642,87.8732187555363
155,164,278,2.8284271247461903,14.0,79.79694912338653
15,248,390,4.0,5.656854249492381,29.28932200634525
30,233,387,4.0,10.0,60.00000004
112,182,316,4.47213595499958,11.661903789690601,61.65175059051483
219,188,217,11.313708498984761,17.88854381999832,36.75444683198775
263,211,174,11.661903789690601,17.08800749063506,31.753870138123496
208,178,227,14.422205101855956,17.88854381999832,19.3774225620839
235,199,202,15.231546211727817,17.88854381999832,14.85306821796658
252,206,185,15.231546211727817,17.08800749063506,10.864117942587804
