curve_idx,y,x,diameter_px,ref_diameter_px,percent_diameter_stenosis,intensity,ref_intensity,percent_intensity_drop,diameter_mm,ref_diameter_mm
0,494,351,5.0990195,6.0,15.016341351051054,0.46976256,0.4706441551446915,0.18731804291595155,1.1217843,1.32
1,493,351,4.0,6.0,33.33333344444445,0.46952698,0.4706441551446915,0.23737440734624693,0.88,1.32
2,492,351,4.472136,6.0,25.464399779885994,0.46917492,0.4706441551446915,0.3121771692709774,0.9838699,1.32
3,491,351,4.472136,6.0,25.464399779885994,0.46768707,0.4706441551446915,0.6283079646938639,0.9838699,1.32
4,490,351,4.472136,6.0,25.464399779885994,0.46382895,0.4706441551446915,1.448060876781443,0.9838699,1.32
5,489,350,4.472136,6.0,25.464399779885994,0.4590049,0.4706441551446915,2.47304804915367,0.9838699,1.32
6,488,350,4.472136,6.0,25.464399779885994,0.45671302,0.4706441551446915,2.960016372212837,0.9838699,1.32
7,487,349,4.472136,6.0,25.464399779885994,0.4589353,0.4706441551446915,2.4878401639302883,0.9838699,1.32
8,486,348,4.472136,6.0,25.464399779885994,0.46447307,0.4706441551446915,1.311202153893154,0.9838699,1.32
9,485,347,5.3851647,6.0,10.247254521230975,0.4700834,0.4706441551446915,0.11915146946976929,1.1847363,1.32
10,484,348,5.3851647,6.0,10.247254521230975,0.4727701,0.4706441551446915,-0.4517063812266686,1.1847363,1.32
11,483,348,5.3851647,6.0,10.247254521230975,0.4720473,0.4706441551446915,-0.2981305423237046,1.1847363,1.32
12,482,347,5.0990195,6.0,15.016341351051054,0.47048825,0.4706441551446915,0.033127976644276025,1.1217843,1.32
13,481,347,5.0,6.0,16.66666680555555,0.47026235,0.4706441551446915,0.08112636277730623,1.1,1.32
14,480,347,5.0,6.0,16.66666680555555,0.46960977,0.4706441551446915,0.21978344208535283,1.1,1.32
15,479,347,5.0,6.0,16.66666680555555,0.46567625,0.4706441551446915,1.0555569236869844,1.1,1.32
